Duration,First Stop,Second Stop,Third Stop,Fourth Stop
3609.2599999999998,Countdown Aviemore Drive,Countdown Highland Park,,
3682.4399999999996,Countdown Botany Downs,Countdown Meadowlands,,
3588.1099999999997,Countdown Highland Park,Countdown Aviemore Drive,,
4132.76,Countdown Howick,Countdown Meadowlands,,
3666.09,Countdown Meadowbank,Countdown St Johns,,
4154.65,Countdown Meadowlands,Countdown Howick,,
2201.2799999999997,Countdown Mt Wellington,Countdown Sylvia Park,,
2925.6600000000003,Countdown Pakuranga,Countdown Mt Wellington,,
3556.04,Countdown St Johns,Countdown Meadowbank,,
2237.8,Countdown Sylvia Park,Countdown Mt Wellington,,
3866.17,FreshChoice Half Moon Bay,Countdown Aviemore Drive,,
1286.85,FreshChoice Otahuhu,Countdown Mangere East,,
4005.33,Countdown Aviemore Drive,Countdown Highland Park,FreshChoice Half Moon Bay,
4223.25,Countdown Botany Downs,Countdown Meadowlands,Countdown Howick,
3984.18,Countdown Highland Park,Countdown Aviemore Drive,FreshChoice Half Moon Bay,
4195.01,Countdown Howick,Countdown Meadowlands,Countdown Botany Downs,
3693.22,Countdown Meadowbank,Countdown St Johns,Countdown Mt Wellington,
4277.21,Countdown Meadowlands,Countdown Howick,Countdown Aviemore Drive,
2209.2400000000002,Countdown Mt Wellington,Countdown Sylvia Park,FreshChoice Otahuhu,
3026.7700000000004,Countdown Pakuranga,Countdown Mt Wellington,Countdown Sylvia Park,
3638.12,Countdown St Johns,Countdown Meadowbank,Countdown Mt Wellington,
2998.16,Countdown Sylvia Park,Countdown Mt Wellington,Countdown Pakuranga,
3986.63,FreshChoice Half Moon Bay,Countdown Aviemore Drive,Countdown Highland Park,
1619.84,FreshChoice Otahuhu,Countdown Mangere East,Countdown Mangere Mall,
4857.32,Countdown Aviemore Drive,Countdown Highland Park,FreshChoice Half Moon Bay,Countdown Howick
4345.8099999999995,Countdown Botany Downs,Countdown Meadowlands,Countdown Howick,Countdown Aviemore Drive
4836.17,Countdown Highland Park,Countdown Aviemore Drive,FreshChoice Half Moon Bay,Countdown Howick
4872.56,Countdown Howick,Countdown Meadowlands,Countdown Botany Downs,Countdown Aviemore Drive
3794.33,Countdown Meadowbank,Countdown St Johns,Countdown Mt Wellington,Countdown Sylvia Park
4397.67,Countdown Meadowlands,Countdown Howick,Countdown Aviemore Drive,Countdown Highland Park
2619.1099999999997,Countdown Mt Wellington,Countdown Sylvia Park,FreshChoice Otahuhu,Countdown Mangere East
3034.7300000000005,Countdown Pakuranga,Countdown Mt Wellington,Countdown Sylvia Park,FreshChoice Otahuhu
3739.2299999999996,Countdown St Johns,Countdown Meadowbank,Countdown Mt Wellington,Countdown Sylvia Park
3943.6400000000003,Countdown Sylvia Park,Countdown Mt Wellington,Countdown Pakuranga,Countdown Botany Downs
4474.34,FreshChoice Half Moon Bay,Countdown Aviemore Drive,Countdown Highland Park,Countdown Meadowlands
2078.16,FreshChoice Otahuhu,Countdown Mangere East,Countdown Mangere Mall,FreshChoice Mangere Bridge
