Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
5814.1,9.0,Countdown Airport,,,
4911.78,9.0,Countdown Mangere East,,,
4472.41,8.0,Countdown Mangere Mall,,,
6856.42,10.0,Countdown Manukau,,,
6639.21,10.0,Countdown Manukau Mall,,,
6803.76,10.0,Countdown Manurewa,,,
7412.62,8.0,Countdown Papakura,,,
7085.280000000001,12.0,Countdown Papatoetoe,,,
8205.16,10.0,Countdown Roselands,,,
7679.4,10.0,Countdown Takanini,,,
5395.7,6.0,SuperValue Flatbush,,,
6126.85,5.0,SuperValue Papakura,,,
10277.02,18.0,Countdown Airport,Countdown Mangere East,,
9568.99,17.0,Countdown Airport,Countdown Mangere Mall,,
11994.779999999999,19.0,Countdown Airport,Countdown Manukau,,
11785.96,19.0,Countdown Airport,Countdown Manukau Mall,,
11875.94,19.0,Countdown Airport,Countdown Manurewa,,
12559.369999999999,17.0,Countdown Airport,Countdown Papakura,,
12353.28,21.0,Countdown Airport,Countdown Papatoetoe,,
13351.9,19.0,Countdown Airport,Countdown Roselands,,
12826.14,19.0,Countdown Airport,Countdown Takanini,,
10523.36,15.0,Countdown Airport,SuperValue Flatbush,,
11273.6,14.0,Countdown Airport,SuperValue Papakura,,
9994.24,18.0,Countdown Mangere East,Countdown Airport,,
8844.77,17.0,Countdown Mangere East,Countdown Mangere Mall,,
11068.8,19.0,Countdown Mangere East,Countdown Manukau,,
10851.59,19.0,Countdown Mangere East,Countdown Manukau Mall,,
11016.14,19.0,Countdown Mangere East,Countdown Manurewa,,
11625.0,17.0,Countdown Mangere East,Countdown Papakura,,
11311.56,21.0,Countdown Mangere East,Countdown Papatoetoe,,
12417.54,19.0,Countdown Mangere East,Countdown Roselands,,
11891.779999999999,19.0,Countdown Mangere East,Countdown Takanini,,
9608.08,15.0,Countdown Mangere East,SuperValue Flatbush,,
10339.23,14.0,Countdown Mangere East,SuperValue Papakura,,
9428.55,17.0,Countdown Mangere Mall,Countdown Airport,,
8855.33,17.0,Countdown Mangere Mall,Countdown Mangere East,,
10724.06,18.0,Countdown Mangere Mall,Countdown Manukau,,
10506.85,18.0,Countdown Mangere Mall,Countdown Manukau Mall,,
10671.4,18.0,Countdown Mangere Mall,Countdown Manurewa,,
11280.26,16.0,Countdown Mangere Mall,Countdown Papakura,,
11145.41,20.0,Countdown Mangere Mall,Countdown Papatoetoe,,
12072.8,18.0,Countdown Mangere Mall,Countdown Roselands,,
11547.029999999999,18.0,Countdown Mangere Mall,Countdown Takanini,,
9263.34,14.0,Countdown Mangere Mall,SuperValue Flatbush,,
9994.49,13.0,Countdown Mangere Mall,SuperValue Papakura,,
11663.24,19.0,Countdown Manukau,Countdown Airport,,
10986.51,19.0,Countdown Manukau,Countdown Mangere East,,
10598.69,18.0,Countdown Manukau,Countdown Mangere Mall,,
11418.74,20.0,Countdown Manukau,Countdown Manukau Mall,,
12005.99,20.0,Countdown Manukau,Countdown Manurewa,,
12390.46,18.0,Countdown Manukau,Countdown Papakura,,
12310.4,22.0,Countdown Manukau,Countdown Papatoetoe,,
13183.0,20.0,Countdown Manukau,Countdown Roselands,,
12657.23,20.0,Countdown Manukau,Countdown Takanini,,
10108.58,16.0,Countdown Manukau,SuperValue Flatbush,,
11104.69,15.0,Countdown Manukau,SuperValue Papakura,,
11446.029999999999,19.0,Countdown Manukau Mall,Countdown Airport,,
10769.31,19.0,Countdown Manukau Mall,Countdown Mangere East,,
10381.48,18.0,Countdown Manukau Mall,Countdown Mangere Mall,,
11434.17,20.0,Countdown Manukau Mall,Countdown Manukau,,
11788.779999999999,20.0,Countdown Manukau Mall,Countdown Manurewa,,
12167.24,18.0,Countdown Manukau Mall,Countdown Papakura,,
12290.62,22.0,Countdown Manukau Mall,Countdown Papatoetoe,,
12959.779999999999,20.0,Countdown Manukau Mall,Countdown Roselands,,
12434.02,20.0,Countdown Manukau Mall,Countdown Takanini,,
10015.08,16.0,Countdown Manukau Mall,SuperValue Flatbush,,
10881.47,15.0,Countdown Manukau Mall,SuperValue Papakura,,
11610.59,19.0,Countdown Manurewa,Countdown Airport,,
10933.86,19.0,Countdown Manurewa,Countdown Mangere East,,
10546.03,18.0,Countdown Manurewa,Countdown Mangere Mall,,
12089.77,20.0,Countdown Manurewa,Countdown Manukau,,
11870.65,20.0,Countdown Manurewa,Countdown Manukau Mall,,
12473.5,18.0,Countdown Manurewa,Countdown Papakura,,
12769.82,22.0,Countdown Manurewa,Countdown Papatoetoe,,
13221.79,20.0,Countdown Manurewa,Countdown Roselands,,
12706.64,20.0,Countdown Manurewa,Countdown Takanini,,
10490.27,16.0,Countdown Manurewa,SuperValue Flatbush,,
11187.73,15.0,Countdown Manurewa,SuperValue Papakura,,
12219.45,17.0,Countdown Papakura,Countdown Airport,,
11542.72,17.0,Countdown Papakura,Countdown Mangere East,,
11154.89,16.0,Countdown Papakura,Countdown Mangere Mall,,
12467.55,18.0,Countdown Papakura,Countdown Manukau,,
12211.11,18.0,Countdown Papakura,Countdown Manukau Mall,,
12708.779999999999,18.0,Countdown Papakura,Countdown Manurewa,,
13118.029999999999,20.0,Countdown Papakura,Countdown Papatoetoe,,
12080.14,18.0,Countdown Papakura,Countdown Roselands,,
12041.869999999999,18.0,Countdown Papakura,Countdown Takanini,,
10940.77,14.0,Countdown Papakura,SuperValue Flatbush,,
9905.09,13.0,Countdown Papakura,SuperValue Papakura,,
12224.45,21.0,Countdown Papatoetoe,Countdown Airport,,
11317.529999999999,21.0,Countdown Papatoetoe,Countdown Mangere East,,
11159.9,20.0,Countdown Papatoetoe,Countdown Mangere Mall,,
12400.970000000001,22.0,Countdown Papatoetoe,Countdown Manukau,,
12336.029999999999,22.0,Countdown Papatoetoe,Countdown Manukau Mall,,
12832.66,22.0,Countdown Papatoetoe,Countdown Manurewa,,
13208.380000000001,20.0,Countdown Papatoetoe,Countdown Papakura,,
14000.92,22.0,Countdown Papatoetoe,Countdown Roselands,,
13475.16,22.0,Countdown Papatoetoe,Countdown Takanini,,
10793.67,18.0,Countdown Papatoetoe,SuperValue Flatbush,,
11922.61,17.0,Countdown Papatoetoe,SuperValue Papakura,,
13011.99,19.0,Countdown Roselands,Countdown Airport,,
12335.26,19.0,Countdown Roselands,Countdown Mangere East,,
11947.44,18.0,Countdown Roselands,Countdown Mangere Mall,,
