Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
5814.1,9.0,Countdown Airport,,,
4911.78,9.0,Countdown Mangere East,,,
4472.41,8.0,Countdown Mangere Mall,,,
9106.42,15.0,Countdown Manukau,,,
6803.76,10.0,Countdown Manurewa,,,
7085.280000000001,12.0,Countdown Papatoetoe,,,
10005.16,14.0,Countdown Roselands,,,
7679.4,10.0,Countdown Takanini,,,
5395.7,6.0,SuperValue Flatbush,,,
6126.85,5.0,SuperValue Papakura,,,
10277.02,18.0,Countdown Airport,Countdown Mangere East,,
9568.99,17.0,Countdown Airport,Countdown Mangere Mall,,
14244.779999999999,24.0,Countdown Airport,Countdown Manukau,,
11875.94,19.0,Countdown Airport,Countdown Manurewa,,
12353.28,21.0,Countdown Airport,Countdown Papatoetoe,,
15151.9,23.0,Countdown Airport,Countdown Roselands,,
12826.14,19.0,Countdown Airport,Countdown Takanini,,
10523.36,15.0,Countdown Airport,SuperValue Flatbush,,
11273.6,14.0,Countdown Airport,SuperValue Papakura,,
9994.24,18.0,Countdown Mangere East,Countdown Airport,,
8844.77,17.0,Countdown Mangere East,Countdown Mangere Mall,,
13318.8,24.0,Countdown Mangere East,Countdown Manukau,,
11016.14,19.0,Countdown Mangere East,Countdown Manurewa,,
11311.56,21.0,Countdown Mangere East,Countdown Papatoetoe,,
14217.54,23.0,Countdown Mangere East,Countdown Roselands,,
11891.779999999999,19.0,Countdown Mangere East,Countdown Takanini,,
9608.08,15.0,Countdown Mangere East,SuperValue Flatbush,,
10339.23,14.0,Countdown Mangere East,SuperValue Papakura,,
9428.55,17.0,Countdown Mangere Mall,Countdown Airport,,
8855.33,17.0,Countdown Mangere Mall,Countdown Mangere East,,
12974.06,23.0,Countdown Mangere Mall,Countdown Manukau,,
10671.4,18.0,Countdown Mangere Mall,Countdown Manurewa,,
11145.41,20.0,Countdown Mangere Mall,Countdown Papatoetoe,,
13872.8,22.0,Countdown Mangere Mall,Countdown Roselands,,
11547.029999999999,18.0,Countdown Mangere Mall,Countdown Takanini,,
9263.34,14.0,Countdown Mangere Mall,SuperValue Flatbush,,
9994.49,13.0,Countdown Mangere Mall,SuperValue Papakura,,
13913.24,24.0,Countdown Manukau,Countdown Airport,,
13236.51,24.0,Countdown Manukau,Countdown Mangere East,,
12848.69,23.0,Countdown Manukau,Countdown Mangere Mall,,
14255.99,25.0,Countdown Manukau,Countdown Manurewa,,
14907.23,25.0,Countdown Manukau,Countdown Takanini,,
12358.58,21.0,Countdown Manukau,SuperValue Flatbush,,
13354.69,20.0,Countdown Manukau,SuperValue Papakura,,
11610.59,19.0,Countdown Manurewa,Countdown Airport,,
10933.86,19.0,Countdown Manurewa,Countdown Mangere East,,
10546.03,18.0,Countdown Manurewa,Countdown Mangere Mall,,
14339.77,25.0,Countdown Manurewa,Countdown Manukau,,
12769.82,22.0,Countdown Manurewa,Countdown Papatoetoe,,
15021.79,24.0,Countdown Manurewa,Countdown Roselands,,
12706.64,20.0,Countdown Manurewa,Countdown Takanini,,
10490.27,16.0,Countdown Manurewa,SuperValue Flatbush,,
11187.73,15.0,Countdown Manurewa,SuperValue Papakura,,
12224.45,21.0,Countdown Papatoetoe,Countdown Airport,,
11317.529999999999,21.0,Countdown Papatoetoe,Countdown Mangere East,,
11159.9,20.0,Countdown Papatoetoe,Countdown Mangere Mall,,
12832.66,22.0,Countdown Papatoetoe,Countdown Manurewa,,
15800.92,26.0,Countdown Papatoetoe,Countdown Roselands,,
13475.16,22.0,Countdown Papatoetoe,Countdown Takanini,,
10793.67,18.0,Countdown Papatoetoe,SuperValue Flatbush,,
11922.61,17.0,Countdown Papatoetoe,SuperValue Papakura,,
14811.99,23.0,Countdown Roselands,Countdown Airport,,
14135.26,23.0,Countdown Roselands,Countdown Mangere East,,
13747.44,22.0,Countdown Roselands,Countdown Mangere Mall,,
14777.900000000001,24.0,Countdown Roselands,Countdown Manurewa,,
15710.58,26.0,Countdown Roselands,Countdown Papatoetoe,,
14511.279999999999,24.0,Countdown Roselands,Countdown Takanini,,
13230.25,20.0,Countdown Roselands,SuperValue Flatbush,,
12478.77,19.0,Countdown Roselands,SuperValue Papakura,,
12486.23,19.0,Countdown Takanini,Countdown Airport,,
11809.5,19.0,Countdown Takanini,Countdown Mangere East,,
11421.68,18.0,Countdown Takanini,Countdown Mangere Mall,,
14984.33,25.0,Countdown Takanini,Countdown Manukau,,
12603.09,20.0,Countdown Takanini,Countdown Manurewa,,
13384.82,22.0,Countdown Takanini,Countdown Papatoetoe,,
14615.720000000001,24.0,Countdown Takanini,Countdown Roselands,,
11207.560000000001,16.0,Countdown Takanini,SuperValue Flatbush,,
10789.33,15.0,Countdown Takanini,SuperValue Papakura,,
10202.529999999999,15.0,SuperValue Flatbush,Countdown Airport,,
9525.8,15.0,SuperValue Flatbush,Countdown Mangere East,,
9137.98,14.0,SuperValue Flatbush,Countdown Mangere Mall,,
12349.23,21.0,SuperValue Flatbush,Countdown Manukau,,
10691.869999999999,16.0,SuperValue Flatbush,Countdown Manurewa,,
10778.52,18.0,SuperValue Flatbush,Countdown Papatoetoe,,
13487.259999999998,20.0,SuperValue Flatbush,Countdown Roselands,,
11161.5,16.0,SuperValue Flatbush,Countdown Takanini,,
9608.95,11.0,SuperValue Flatbush,SuperValue Papakura,,
10933.67,14.0,SuperValue Papakura,Countdown Airport,,
10256.939999999999,14.0,SuperValue Papakura,Countdown Mangere East,,
9869.119999999999,13.0,SuperValue Papakura,Countdown Mangere Mall,,
13431.779999999999,20.0,SuperValue Papakura,Countdown Manukau,,
11423.01,15.0,SuperValue Papakura,Countdown Manurewa,,
11832.259999999998,17.0,SuperValue Papakura,Countdown Papatoetoe,,
12633.349999999999,19.0,SuperValue Papakura,Countdown Roselands,,
10839.48,15.0,SuperValue Papakura,Countdown Takanini,,
9655.0,11.0,SuperValue Papakura,SuperValue Flatbush,,
13951.91,26.0,Countdown Airport,Countdown Mangere Mall,Countdown Mangere East,
12003.09,23.0,Countdown Mangere East,Countdown Mangere Mall,FreshChoice Mangere Bridge,
11521.130000000001,22.0,Countdown Mangere Mall,Countdown Mangere East,FreshChoice Otahuhu,
10238.8,15.0,Countdown Aviemore Drive,,,
7611.68,10.0,Countdown Botany Downs,,,
10837.94,15.0,Countdown Howick,,,
