Duration,First Stop,Second Stop,Third Stop,Fourth Stop
3733.13,Countdown Auckland City,Countdown Metro Albert Street,,
4700.12,Countdown Birkenhead,Countdown Northcote,,
2749.17,Countdown Blockhouse Bay,Countdown Lynfield,,
6411.02,Countdown Browns Bay,Countdown Mairangi Bay,,
5469.35,Countdown Glenfield,Countdown Sunnynook,,
3251.0,Countdown Greenlane,Countdown Newmarket,,
3329.76,Countdown Grey Lynn,Countdown Grey Lynn Central,,
3177.42,Countdown Grey Lynn Central,Countdown Ponsonby,,
4862.09,Countdown Hauraki Corner,Countdown Takapuna,,
4696.17,Countdown Henderson,SuperValue Palomino,,
5151.110000000001,Countdown Hobsonville,Countdown Northwest,,
3777.8,Countdown Kelston,FreshChoice Glen Eden,,
3806.7200000000003,Countdown Lincoln Road,Countdown Te Atatu South,,
2755.67,Countdown Lynfield,Countdown Blockhouse Bay,,
2913.58,Countdown Lynmall,SuperValue Avondale,,
5568.219999999999,Countdown Mairangi Bay,Countdown Sunnynook,,
5130.700000000001,Countdown Milford,Countdown Takapuna,,
2976.88,Countdown Mt Eden,Countdown St Lukes,,
2741.0299999999997,Countdown Mt Roskill,Countdown St Lukes,,
3182.8199999999997,Countdown Newmarket,Countdown Mt Eden,,
4783.67,Countdown Northcote,Countdown Birkenhead,,
4164.48,Countdown Northwest,Countdown Westgate,,
1657.91,Countdown Onehunga,FreshChoice Mangere Bridge,,
3177.42,Countdown Ponsonby,Countdown Grey Lynn Central,,
3418.24,Countdown Pt Chevalier,Countdown Grey Lynn Central,,
2992.35,Countdown St Lukes,Countdown Mt Eden,,
5584.41,Countdown Sunnynook,Countdown Mairangi Bay,,
4840.77,Countdown Takapuna,Countdown Hauraki Corner,,
4026.66,Countdown Te Atatu,Countdown Te Atatu South,,
4107.01,Countdown Te Atatu South,Countdown Henderson,,
2471.86,Countdown Three Kings,Countdown Mt Roskill,,
3806.7300000000005,Countdown Victoria Street West,Countdown Metro Albert Street,,
4415.110000000001,Countdown Westgate,Countdown Northwest,,
3802.2200000000003,Countdown Metro Albert Street,Countdown Auckland City,,
3875.5600000000004,Countdown Metro Halsey Street,Countdown Metro Albert Street,,
3771.7,FreshChoice Glen Eden,Countdown Kelston,,
1358.8999999999999,FreshChoice Mangere Bridge,Countdown Mangere Mall,,
4450.570000000001,FreshChoice Ranui,Countdown Lincoln Road,,
2939.21,SuperValue Avondale,Countdown Lynmall,,
4722.65,SuperValue Palomino,Countdown Henderson,,
3928.7799999999997,SuperValue Titirangi,FreshChoice Glen Eden,,
3894.7,Countdown Auckland City,Countdown Metro Albert Street,Countdown Victoria Street West,
5150.32,Countdown Birkenhead,Countdown Northcote,Countdown Takapuna,
3382.9799999999996,Countdown Blockhouse Bay,Countdown Lynfield,SuperValue Avondale,
6427.03,Countdown Browns Bay,Countdown Mairangi Bay,Countdown Sunnynook,
6094.780000000001,Countdown Glenfield,Countdown Sunnynook,Countdown Mairangi Bay,
3247.6000000000004,Countdown Greenlane,Countdown Newmarket,Countdown Mt Eden,
3567.54,Countdown Grey Lynn,Countdown Grey Lynn Central,Countdown Ponsonby,
3489.45,Countdown Grey Lynn Central,Countdown Ponsonby,Countdown Grey Lynn,
5590.49,Countdown Hauraki Corner,Countdown Takapuna,Countdown Milford,
5082.92,Countdown Henderson,SuperValue Palomino,FreshChoice Ranui,
5048.46,Countdown Hobsonville,Countdown Northwest,Countdown Westgate,
4043.14,Countdown Kelston,FreshChoice Glen Eden,SuperValue Titirangi,
4618.23,Countdown Lincoln Road,Countdown Te Atatu South,Countdown Henderson,
3044.99,Countdown Lynfield,Countdown Blockhouse Bay,SuperValue Avondale,
3366.29,Countdown Lynmall,SuperValue Avondale,Countdown Blockhouse Bay,
6101.01,Countdown Mairangi Bay,Countdown Sunnynook,Countdown Glenfield,
5560.74,Countdown Milford,Countdown Takapuna,Countdown Hauraki Corner,
3131.34,Countdown Mt Eden,Countdown St Lukes,Countdown Mt Roskill,
3142.0699999999997,Countdown Mt Roskill,Countdown St Lukes,Countdown Mt Eden,
3509.2599999999998,Countdown Newmarket,Countdown Mt Eden,Countdown St Lukes,
5502.68,Countdown Northcote,Countdown Birkenhead,Countdown Glenfield,
4606.22,Countdown Northwest,Countdown Westgate,Countdown Lincoln Road,
2122.1800000000003,Countdown Onehunga,FreshChoice Mangere Bridge,Countdown Mangere Mall,
3594.84,Countdown Ponsonby,Countdown Grey Lynn Central,Countdown Grey Lynn,
3656.0199999999995,Countdown Pt Chevalier,Countdown Grey Lynn Central,Countdown Ponsonby,
3595.8100000000004,Countdown St Lukes,Countdown Mt Eden,Countdown Grey Lynn Central,
5827.17,Countdown Sunnynook,Countdown Mairangi Bay,Countdown Milford,
5468.959999999999,Countdown Takapuna,Countdown Hauraki Corner,Countdown Milford,
4838.17,Countdown Te Atatu,Countdown Te Atatu South,Countdown Henderson,
4696.24,Countdown Te Atatu South,Countdown Henderson,SuperValue Palomino,
3085.75,Countdown Three Kings,Countdown Mt Roskill,Countdown St Lukes,
3993.4700000000003,Countdown Victoria Street West,Countdown Metro Albert Street,Countdown Auckland City,
4823.120000000001,Countdown Westgate,Countdown Northwest,Countdown Hobsonville,
3946.0699999999997,Countdown Metro Albert Street,Countdown Auckland City,Countdown Victoria Street West,
4062.3,Countdown Metro Halsey Street,Countdown Metro Albert Street,Countdown Auckland City,
4175.09,FreshChoice Glen Eden,Countdown Kelston,SuperValue Titirangi,
1691.82,FreshChoice Mangere Bridge,Countdown Mangere Mall,Countdown Mangere East,
4616.79,FreshChoice Ranui,Countdown Lincoln Road,Countdown Te Atatu South,
3689.77,SuperValue Avondale,Countdown Lynmall,Countdown Kelston,
4722.72,SuperValue Palomino,Countdown Henderson,Countdown Te Atatu South,
4048.3199999999997,SuperValue Titirangi,FreshChoice Glen Eden,Countdown Kelston,
4276.43,Countdown Auckland City,Countdown Metro Albert Street,Countdown Victoria Street West,Countdown Metro Halsey Street
5580.360000000001,Countdown Birkenhead,Countdown Northcote,Countdown Takapuna,Countdown Hauraki Corner
3858.0,Countdown Blockhouse Bay,Countdown Lynfield,SuperValue Avondale,Countdown Lynmall
6959.82,Countdown Browns Bay,Countdown Mairangi Bay,Countdown Sunnynook,Countdown Glenfield
6337.54,Countdown Glenfield,Countdown Sunnynook,Countdown Mairangi Bay,Countdown Milford
3574.04,Countdown Greenlane,Countdown Newmarket,Countdown Mt Eden,Countdown St Lukes
4136.67,Countdown Grey Lynn,Countdown Grey Lynn Central,Countdown Ponsonby,Countdown Victoria Street West
4121.8,Countdown Grey Lynn Central,Countdown Ponsonby,Countdown Grey Lynn,Countdown Metro Halsey Street
6371.71,Countdown Hauraki Corner,Countdown Takapuna,Countdown Milford,Countdown Mairangi Bay
5163.59,Countdown Henderson,SuperValue Palomino,FreshChoice Ranui,Countdown Lincoln Road
5490.2,Countdown Hobsonville,Countdown Northwest,Countdown Westgate,Countdown Lincoln Road
4173.21,Countdown Kelston,FreshChoice Glen Eden,SuperValue Titirangi,Countdown Blockhouse Bay
5207.46,Countdown Lincoln Road,Countdown Te Atatu South,Countdown Henderson,SuperValue Palomino
3520.01,Countdown Lynfield,Countdown Blockhouse Bay,SuperValue Avondale,Countdown Lynmall
3513.16,Countdown Lynmall,SuperValue Avondale,Countdown Blockhouse Bay,Countdown Lynfield
6370.09,Countdown Mairangi Bay,Countdown Sunnynook,Countdown Glenfield,Countdown Birkenhead
6032.49,Countdown Milford,Countdown Takapuna,Countdown Hauraki Corner,Countdown Northcote
3429.86,Countdown Mt Eden,Countdown St Lukes,Countdown Mt Roskill,Countdown Three Kings
3745.5299999999997,Countdown Mt Roskill,Countdown St Lukes,Countdown Mt Eden,Countdown Grey Lynn Central
3663.72,Countdown Newmarket,Countdown Mt Eden,Countdown St Lukes,Countdown Mt Roskill
5964.84,Countdown Northcote,Countdown Birkenhead,Countdown Glenfield,Countdown Sunnynook
4772.44,Countdown Northwest,Countdown Westgate,Countdown Lincoln Road,Countdown Te Atatu South
2455.1,Countdown Onehunga,FreshChoice Mangere Bridge,Countdown Mangere Mall,Countdown Mangere East
4227.19,Countdown Ponsonby,Countdown Grey Lynn Central,Countdown Grey Lynn,Countdown Metro Halsey Street
3968.0499999999997,Countdown Pt Chevalier,Countdown Grey Lynn Central,Countdown Ponsonby,Countdown Grey Lynn
3833.59,Countdown St Lukes,Countdown Mt Eden,Countdown Grey Lynn Central,Countdown Ponsonby
5896.870000000001,Countdown Sunnynook,Countdown Mairangi Bay,Countdown Milford,Countdown Takapuna
6250.18,Countdown Takapuna,Countdown Hauraki Corner,Countdown Milford,Countdown Mairangi Bay
5427.4,Countdown Te Atatu,Countdown Te Atatu South,Countdown Henderson,SuperValue Palomino
5082.99,Countdown Te Atatu South,Countdown Henderson,SuperValue Palomino,FreshChoice Ranui
3486.79,Countdown Three Kings,Countdown Mt Roskill,Countdown St Lukes,Countdown Mt Eden
4345.4400000000005,Countdown Victoria Street West,Countdown Metro Albert Street,Countdown Auckland City,Countdown Metro Halsey Street
5264.870000000001,Countdown Westgate,Countdown Northwest,Countdown Hobsonville,Countdown Lincoln Road
4327.8,Countdown Metro Albert Street,Countdown Auckland City,Countdown Victoria Street West,Countdown Metro Halsey Street
4206.15,Countdown Metro Halsey Street,Countdown Metro Albert Street,Countdown Auckland City,Countdown Victoria Street West
4305.16,FreshChoice Glen Eden,Countdown Kelston,SuperValue Titirangi,Countdown Blockhouse Bay
2107.62,FreshChoice Mangere Bridge,Countdown Mangere Mall,Countdown Mangere East,FreshChoice Otahuhu
5428.3,FreshChoice Ranui,Countdown Lincoln Road,Countdown Te Atatu South,Countdown Henderson
3943.46,SuperValue Avondale,Countdown Lynmall,Countdown Kelston,FreshChoice Glen Eden
