,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Hauraki Corner,Countdown Henderson,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manurewa,Countdown Meadowbank,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Onehunga,Countdown Pakuranga,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Airport,0,1956.46,2330.68,2340.24,1427.97,1971.09,3355.17,2698.02,1519.18,1748.91,2563.05,2151.22,2442.1,2491.97,1870.74,1920.83,1235.13,1559.7,2975.3,758.55,497.92,1235.47,1153.91,1838.49,2750.99,1478.86,1220.49,1846.27,1868.32,2329.3,906.84,1857.78,1079.19,1701.53,1672.67,1820.6,2048.99,1465.47,2679.79,1619.28,2425.17,1995.26,1745.06,1071.27,1923.66,2094.95,1954.68,779.33,2382.29,609.48,1183.03,2295.89,1428.5,2348.63,1985.56,1838.82
Countdown Auckland City,2012.12,0,1946.04,974.09,1444.67,1879.06,1989.02,1331.87,812.54,718.01,1196.91,1631.06,1921.94,2311.26,1557.88,1400.67,1380.58,1345.44,1609.16,1872.6,1979.81,1668.79,2228.16,1176.48,1384.84,863.97,1265.88,1198.41,575.78,963.16,1462.31,1473.14,1614.9,571.59,819.14,2380.61,1226.33,898.15,1313.65,2179.29,1059.03,1475.1,1224.9,1046.63,227.98,1574.79,357.71,1762.92,1997.65,1560.01,1425.2,1775.73,1788.78,1828.47,2545.57,1855.52
Countdown Aviemore Drive,2372.59,1887.28,0,2299.64,2634.8,508.15,3314.57,2657.42,1379.06,2007.33,2522.46,2821.18,3112.07,391.32,2748,2590.8,2570.71,2535.57,2934.71,2041.49,2101.07,1374.09,2004,1376.19,2710.39,1783.98,2456,1008.77,1688.94,2288.71,1502.04,673.55,1506.92,1874.91,2009.27,2135.15,1129.18,2088.28,2639.19,1988.8,2384.57,2665.23,2415.03,1886.07,1830.45,2764.92,2046.17,1711.71,320.24,1832.95,1360.17,2965.85,1134.2,3018.6,2355.08,3045.65
Countdown Birkenhead,2495.19,1099.88,2427.33,0,1927.73,2360.36,1612.15,492.81,1293.84,841.71,820.04,2114.12,1586.06,2792.55,2040.94,1883.73,1863.64,1828.51,1232.29,2355.67,2462.88,2150.09,2709.45,1657.78,907.97,1345.27,1748.94,1679.71,1057.08,360.69,1945.38,1954.44,2096.2,1020.58,1302.21,2861.91,2145.65,1381.22,936.78,2660.59,682.16,1958.17,1707.97,1527.93,976.65,1792.79,803.62,2245.99,2478.95,2043.08,1906.5,2258.79,2270.08,2311.53,3026.86,2338.59
Countdown Blockhouse Bay,1496,1413.39,2695.5,1797.16,0,2666.29,2812.09,2154.94,1562,1205.83,2019.98,1206.98,1899.02,3060.72,662.38,1377.75,352.06,463.6,2432.23,1356.48,1463.69,1919.97,1904.59,1925.95,2207.91,1109.34,710.14,1947.87,1325.24,1786.23,946.18,2222.6,1826.54,1158.45,810.55,2496.72,2413.81,830.02,2136.72,2295.4,1882.09,1452.19,1201.98,940.39,1380.59,1551.87,1411.61,1246.8,2747.11,1043.89,1650.5,1752.81,2123.7,1805.55,2661.67,531.96
Countdown Botany Downs,1969.85,1785.71,515.41,2198.07,2533.23,0,3213,2555.85,1277.49,1905.76,2420.89,2719.61,3010.5,559.7,2646.43,2489.23,2448.15,2434,2833.14,1638.75,1698.33,971.34,1601.26,1417.35,2608.82,1682.41,2354.44,907.2,1587.37,2187.14,1400.47,644.31,1061.01,1773.34,1907.7,1871.29,1170.33,1986.71,2537.62,1669.96,2283,2563.66,2313.46,1784.5,1728.89,2663.34,1944.6,1549.57,795.26,1822.5,1121.19,2864.28,731.46,2917.03,2036.24,2944.08
Countdown Browns Bay,3308,1912.7,3240.15,1554.39,2740.55,3173.17,0,1204.22,2106.65,1654.52,1434.44,2516.59,1522.22,3605.37,2879.65,2023.66,2676.46,2796.11,478.95,3168.48,3275.7,2962.9,3522.27,2470.6,988.59,2158.09,2561.76,2492.52,1869.89,1300.02,2758.19,2767.25,2909.01,1833.4,2115.02,3674.73,2958.46,2194.03,792.66,3473.41,1296.56,2258.04,2110.44,2340.75,1789.46,1728.95,1616.44,3058.8,3291.76,2855.9,2719.31,2398.72,3082.89,2451.46,3839.68,3151.4
Countdown Glenfield,2721.39,1326.08,2653.54,495.28,2153.94,2586.56,1230.6,0,1520.04,1067.91,847.83,2075.95,1081.57,3018.76,2267.14,1583.01,2089.84,2054.71,764.57,2581.87,2689.08,2376.29,2935.66,1883.98,719.91,1571.47,1975.14,1905.91,1283.28,519.49,2171.58,2180.64,2322.4,1246.78,1528.41,3088.11,2371.85,1607.42,492.15,2886.79,709.94,1817.39,1669.79,1754.13,1202.85,1288.31,1029.82,2472.19,2705.15,2269.28,2132.7,1958.07,2496.28,2010.81,3253.07,2564.79
Countdown Greenlane,1427.63,743.28,1425.58,1155.64,1490.8,1358.6,2170.57,1513.42,0,863.33,1378.45,1677.18,1968.06,1790.8,1604,1446.79,1426.7,1391.56,1790.7,1317.26,1804.77,1148.34,1707.7,622.2,1566.39,536.22,927.29,677.95,374.66,1144.7,629.8,952.68,1094.45,730.91,865.27,1860.16,972.15,944.28,1495.19,1658.84,1240.57,1521.23,1271.03,638.32,686.45,1620.91,902.17,1333.13,1477.19,975.53,904.75,1821.85,1268.32,1874.59,2025.11,1901.65
Countdown Grey Lynn,1854.14,888.53,2073.48,726.84,1286.69,2006.5,1741.77,1084.61,939.98,0,949.65,1473.08,1715.67,2438.7,1399.9,1242.69,1222.6,1187.46,1361.9,1714.62,1821.83,1796.23,2262.74,1303.92,1137.59,657.43,949.1,1325.85,703.22,715.9,1304.33,1600.58,1742.34,235.95,540.17,2508.05,1791.79,643.38,1066.39,2306.73,811.77,1317.12,1066.92,1298.54,616.03,1416.81,480.11,1604.94,2125.09,1402.03,1552.64,1617.75,1916.22,1670.49,2673,1697.54
